APYGARDOS_NR,APYGARDOS_PAVADINIMAS,APYLINKES_NR,APYLINKES_PAVADINIMAS,RINKEJU_SKAICIUS,VISO_DALYVAVO,BALSADEZEJE_GALIOJANTYS,BALSADEZEJE_NEGALIOJANTYS,PASTU_GALIOJANTYS,PASTU_NEGALIOJANTYS,VARDAS,PAVARDE,PARTIJA,BALSU_BALSADEZEJE,BALSU_PASTU,BALSU_VISO,PAPILDOMO_PROTOKOLO_POZYMIS,RKND_V_AR_ISSIKELE_PATS,RPL_UNIKALUS_NUMERIS,SAV,Sugeneravimo data
1,Akmenės rajono,7,Alkiškių,399,222,157,0,65,0,INGRIDA,ŠIMONYTĖ,,28,14,42,,T,1007,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,7,Alkiškių,399,222,157,0,65,0,ARVYDAS,JUOZAITIS,,11,1,12,,T,1007,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,7,Alkiškių,399,222,157,0,65,0,VYTENIS POVILAS,ANDRIUKAITIS,,7,4,11,,T,1007,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,7,Alkiškių,399,222,157,0,65,0,MINDAUGAS,PUIDOKAS,,4,5,9,,T,1007,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,7,Alkiškių,399,222,157,0,65,0,NAGLIS,PUTEIKIS,,3,1,4,,T,1007,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,7,Alkiškių,399,222,157,0,65,0,VALENTINAS,MAZURONIS,,1,1,2,,T,1007,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,7,Alkiškių,399,222,157,0,65,0,VALDEMAR,TOMAŠEVSKI,,0,0,0,,T,1007,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,8,Daubiškių,531,254,187,1,66,0,SAULIUS,SKVERNELIS,,82,34,116,,T,1008,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,8,Daubiškių,531,254,187,1,66,0,GITANAS,NAUSĖDA,,45,14,59,,T,1008,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,8,Daubiškių,531,254,187,1,66,0,INGRIDA,ŠIMONYTĖ,,32,12,44,,T,1008,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,8,Daubiškių,531,254,187,1,66,0,MINDAUGAS,PUIDOKAS,,10,3,13,,T,1008,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,8,Daubiškių,531,254,187,1,66,0,VYTENIS POVILAS,ANDRIUKAITIS,,8,3,11,,T,1008,Akmenės rajono savivaldybė,2019-05-16 15:45
